09.6	kotimaanmatka	8,33	8,33	8,33	8,33	16,67	8,33	8,33	8,33	8,33	8,33	16,67	8,33	8,33	8,33	8,33	8,33	16,67	8,33	8,33	8,33	8,33	8,33	16,67	8,33	8,33	8,33	8,33	8,33	16,67	8,33	8,33	8,33	8,33	8,33	16,67	8,33
11.1	ruokailu kodin ulkopuolella	116,00	116,00	0,00	0,00	116,00	231,00	116,00	116,00	0,00	0,00	116,00	231,00	116,00	116,00	0,00	0,00	116,00	231,00	116,00	116,00	0,00	0,00	116,00	231,00	116,00	116,00	0,00	0,00	116,00	231,00	116,00	116,00	0,00	0,00	116,00	231,00
11.1	ruokailu ravintola yms.	17,00	17,00	0,00	0,00	0,00	52,00	17,00	17,00	0,00	0,00	0,00	52,00	17,00	17,00	0,00	0,00	0,00	52,00	17,00	17,00	0,00	0,00	0,00	52,00	17,00	17,00	0,00	0,00	0,00	52,00	17,00	17,00	0,00	0,00	0,00	52,00
12.1	ihonhoito	6,00	6,00	6,00	6,00	8,00	11,00	6,00	6,00	6,00	6,00	8,00	11,00	6,00	6,00	6,00	6,00	8,00	11,00	6,00	6,00	6,00	6,00	8,00	11,00	6,00	6,00	6,00	6,00	8,00	11,00	6,00	6,00	6,00	6,00	8,00	11,00
12.1	kosmetiikka	7,00	7,00	7,00	7,00	7,00	8,00	7,00	7,00	7,00	7,00	7,00	8,00	7,00	7,00	7,00	7,00	7,00	8,00	7,00	7,00	7,00	7,00	7,00	8,00	7,00	7,00	7,00	7,00	7,00	8,00	7,00	7,00	7,00	7,00	7,00	8,00
12.1	hiustenhoito	15,00	15,00	15,00	15,00	31,00	39,00	15,00	15,00	15,00	15,00	31,00	39,00	15,00	15,00	15,00	15,00	31,00	39,00	15,00	15,00	15,00	15,00	31,00	39,00	15,00	15,00	15,00	15,00	31,00	39,00	15,00	15,00	15,00	15,00	31,00	39,00
12.1	hygieniatarvikkeet	9,00	9,00	8,00	8,00	8,00	11,00	9,00	9,00	8,00	8,00	8,00	11,00	9,00	9,00	8,00	8,00	8,00	11,00	9,00	9,00	8,00	8,00	8,00	11,00	9,00	9,00	8,00	8,00	8,00	11,00	9,00	9,00	8,00	8,00	8,00	11,00
12.3	lahjat	8,33	8,33	16,67	16,67	16,67	33,33	8,33	8,33	16,67	16,67	16,67	33,33	8,33	8,33	16,67	16,67	16,67	33,33	8,33	8,33	16,67	16,67	16,67	33,33	8,33	8,33	16,67	16,67	16,67	33,33	8,33	8,33	16,67	16,67	16,67	33,33
12.5	kotivakuutus	6,00	6,00	6,00	6,00	8,00	19,00	6,00	6,00	6,00	6,00	8,00	19,00	6,00	6,00	6,00	6,00	8,00	19,00	6,00	6,00	6,00	6,00	8,00	19,00	6,00	6,00	6,00	6,00	8,00	19,00	6,00	6,00	6,00	6,00	8,00	19,00
12.5	liikennevakuutus						45,96						45,96						45,96						45,96						45,96						45,96
12.9	jäsenmaksut	8,33	8,33	2,08	2,08	8,33	8,33	8,33	8,33	2,08	2,08	8,33	8,33	8,33	8,33	2,08	2,08	8,33	8,33	8,33	8,33	2,08	2,08	8,33	8,33	8,33	8,33	2,08	2,08	8,33	8,33	8,33	8,33	2,08	2,08	8,33	8,33
							175,62						175,62						175,62						175,62						175,62						175,62
